train_size,early_epochs,smart_epochs,param_epochs,early_acc,smart_acc,param_acc,early_loss,smart_loss,param_loss,diff_epochs,diff_acc,utility,smart_better
500,30.2,84.8,11.6,0.5488904657933042,0.5283410917030568,0.5305333333333333,1.2015685614993175,1.2239127271175385,1.2003459048072498,-54.6,0.02054937409024746,0.12974937409024745,0.5333333333333333
1000,33.56666666666667,136.0,8.7,0.56912826783115,0.5857356186317322,0.545828864628821,1.1455589369611987,1.1276031738263443,1.1880147727681205,-102.43333333333334,-0.01660735080058224,0.18825931586608444,0.7
2000,23.433333333333334,136.0,9.133333333333333,0.5833770160116448,0.6076612227074236,0.5717945269286754,1.0954065112233475,1.0814667834006046,1.1237461286354369,-112.56666666666666,-0.024284206695778746,0.20084912663755458,0.6666666666666666
5000,42.266666666666666,148.9,8.7,0.613107365356623,0.6245023144104803,0.5876200727802038,1.0405581401295338,1.0236832165238134,1.0944949442497343,-106.63333333333334,-0.011394949053857358,0.2018717176128093,0.7666666666666667
