train_size,run,early_epochs,early_acc,early_loss,smart_epochs,smart_acc,smart_loss,param_epochs,param_acc,param_loss,diff_epochs,diff_loss,diff_acc,rel_epochs_saved,utility,smart_better,dataset
5000,8,22,0.9208,0.2663532100617886,200,0.9166,0.2739984236061573,8,0.9147,0.28775880229473116,-178,-0.007645213544368701,0.0041999999999999815,-8.090909087231404,0.36019999999999996,True,MNIST
5000,9,22,0.9213,0.23596752996742726,8,0.9147,0.30127517859637737,8,0.904,0.3140625359416008,14,-0.06530764862895011,0.00660000000000005,0.6363636360743802,-0.02139999999999995,False,MNIST
500,0,15,0.2793,2.0343233919143677,200,0.281,1.9824113655090332,14,0.2598,2.019031295776367,-185,0.051912026405334544,-0.0017000000000000348,-12.333333325111111,0.36829999999999996,True,CIFAR-10
500,1,14,0.278,2.132763633728027,200,0.2642,1.979259204864502,12,0.2659,1.9310807991027832,-186,0.15350442886352522,0.013800000000000034,-13.285714276224489,0.38580000000000003,True,CIFAR-10
500,2,22,0.2942,1.9894515132904054,200,0.2774,1.9674800395965577,13,0.2821,1.9074187231063844,-178,0.021971473693847665,0.016800000000000037,-8.090909087231404,0.3728,True,CIFAR-10
500,3,19,0.2927,2.037506036758423,200,0.2897,1.9141380214691162,14,0.2648,2.0063650131225588,-181,0.12336801528930685,0.0030000000000000027,-9.526315784459833,0.365,True,CIFAR-10
500,4,14,0.2387,2.0660267543792723,200,0.2768,2.019456033706665,8,0.2444,2.074089756011963,-186,0.04657072067260737,-0.038099999999999995,-13.285714276224489,0.3339,True,CIFAR-10
500,5,13,0.2638,1.989293565750122,200,0.2877,1.8226410484313964,9,0.2608,2.0335380744934084,-187,0.16665251731872566,-0.023900000000000032,-14.384615373550295,0.35009999999999997,True,CIFAR-10
500,6,18,0.2799,1.8713060665130614,200,0.2756,1.9371939086914063,15,0.2754,1.8483299255371093,-182,-0.06588784217834487,0.0042999999999999705,-10.111111105493826,0.36829999999999996,True,CIFAR-10
500,7,14,0.3001,1.9663656902313233,200,0.2874,1.8600503015518188,14,0.2883,1.971648154258728,-186,0.10631538867950452,0.012699999999999989,-13.285714276224489,0.3847,True,CIFAR-10
500,8,12,0.2652,2.036082220077515,200,0.2887,2.0122576427459715,13,0.2362,2.0383125877380373,-188,0.023824577331543306,-0.02350000000000002,-15.66666665361111,0.3525,True,CIFAR-10
500,9,17,0.2716,1.8580634880065918,200,0.2813,1.8955484008789063,18,0.2859,1.8740691375732421,-183,-0.03748491287231448,-0.009699999999999986,-10.764705876020761,0.3563,True,CIFAR-10
1000,0,22,0.3199,1.8374180126190185,200,0.3099,1.8707974529266358,9,0.2836,2.031492204666138,-178,-0.0333794403076173,0.010000000000000009,-8.090909087231404,0.366,True,CIFAR-10
1000,1,14,0.3001,1.9309240627288817,200,0.2969,1.8274138355255127,9,0.2916,1.9992787218093873,-186,0.103510227203369,0.0031999999999999806,-13.285714276224489,0.3752,True,CIFAR-10
1000,2,10,0.266,2.00569504737854,200,0.2927,1.7880463695526123,9,0.3007,1.8921856546401978,-190,0.21764867782592767,-0.0267,-18.999999981,0.3533,True,CIFAR-10
1000,3,26,0.3136,1.8205161952972413,200,0.2883,1.7937518501281737,8,0.2707,1.9861906719207765,-174,0.02676434516906756,0.02529999999999999,-6.6923076897337275,0.3733,True,CIFAR-10
1000,4,14,0.2898,1.9245555210113525,200,0.3052,1.8322493648529052,8,0.2843,1.9480843353271484,-186,0.09230615615844728,-0.015400000000000025,-13.285714276224489,0.3566,True,CIFAR-10
1000,5,31,0.2972,1.8365388345718383,200,0.2861,1.8422309398651122,21,0.3132,1.8207571983337403,-169,-0.005692105293273908,0.011099999999999999,-5.451612901467222,0.3491,True,CIFAR-10
1000,6,18,0.2997,1.9095951986312867,200,0.2842,1.8841353225708009,8,0.2457,1.9976641750335693,-182,0.02545987606048583,0.015500000000000014,-10.111111105493826,0.3795,True,CIFAR-10
1000,7,24,0.3059,1.9061448860168457,200,0.3121,1.9434421062469482,8,0.2653,1.9767909240722656,-176,-0.03729722023010251,-0.006199999999999983,-7.333333330277777,0.3458,True,CIFAR-10
1000,8,22,0.3078,1.882488832473755,200,0.3001,1.9609189414978028,10,0.2971,1.989580316543579,-178,-0.07843010902404779,0.00770000000000004,-8.090909087231404,0.3637,True,CIFAR-10
1000,9,14,0.2913,1.9267104053497315,200,0.2826,1.8334589290618897,10,0.2858,1.9342600727081298,-186,0.0932514762878418,0.008699999999999986,-13.285714276224489,0.3807,True,CIFAR-10
2000,0,22,0.3328,1.811446738243103,200,0.3274,1.7684835052490235,11,0.3294,1.8842021656036376,-178,0.04296323299407945,0.00539999999999996,-8.090909087231404,0.36139999999999994,True,CIFAR-10
2000,1,21,0.3394,1.8133780765533447,200,0.307,1.8780952501296997,8,0.3167,1.9046543502807618,-179,-0.06471717357635498,0.032399999999999984,-8.523809519750566,0.39039999999999997,True,CIFAR-10
2000,2,16,0.3285,1.7975085496902465,200,0.3323,1.8437628412246705,12,0.3062,1.8456593704223634,-184,-0.04625429153442395,-0.00379999999999997,-11.4999999928125,0.3642,True,CIFAR-10
2000,3,13,0.2805,1.908977174758911,200,0.3205,1.7063666248321534,9,0.3185,1.8750431632995606,-187,0.20261054992675764,-0.03999999999999998,-14.384615373550295,0.334,True,CIFAR-10
2000,4,17,0.3413,1.7642683744430543,200,0.3196,1.7850180053710938,20,0.3402,1.7303156709671021,-183,-0.020749630928039497,0.021699999999999997,-10.764705876020761,0.3877,True,CIFAR-10
2000,5,17,0.3178,1.8230114936828614,200,0.3157,1.8225881910324098,12,0.3251,1.8047112035751343,-183,0.0004233026504516513,0.0021000000000000463,-10.764705876020761,0.36810000000000004,True,CIFAR-10
2000,6,20,0.3415,1.7938224649429322,200,0.3332,1.7137797117233275,14,0.3321,1.7744422912597657,-180,0.08004275321960463,0.00830000000000003,-8.9999999955,0.3683,True,CIFAR-10
2000,7,16,0.3326,1.8649276542663573,200,0.3362,1.7341925764083863,9,0.3263,1.8350416755676269,-184,0.130735077857971,-0.003599999999999992,-11.4999999928125,0.3644,True,CIFAR-10
2000,8,18,0.3244,1.820312385559082,200,0.3096,1.7624128580093383,8,0.304,1.9148781299591064,-182,0.05789952754974359,0.014800000000000035,-10.111111105493826,0.3788,True,CIFAR-10
2000,9,28,0.3398,1.7418605995178222,200,0.3373,1.8229060125350953,11,0.3162,1.8702732944488525,-172,-0.08104541301727308,0.0025000000000000022,-6.142857140663265,0.34650000000000003,True,CIFAR-10
5000,0,31,0.3541,1.7034437084197998,200,0.331,1.708068208694458,8,0.3315,1.7928936910629272,-169,-0.0046245002746583275,0.02310000000000001,-5.451612901467222,0.36110000000000003,True,CIFAR-10
5000,1,23,0.365,1.715123911857605,200,0.3571,1.7580577392578125,10,0.3513,1.7845517721176147,-177,-0.04293382740020757,0.007900000000000018,-7.695652170567107,0.3619,True,CIFAR-10
5000,2,21,0.3637,1.7380165948867798,200,0.3456,1.674373010635376,9,0.3615,1.8010106353759765,-179,0.06364358425140382,0.018100000000000005,-8.523809519750566,0.3761,True,CIFAR-10
5000,3,25,0.3359,1.7080614814758301,200,0.3451,1.7256176328659059,8,0.3379,1.8300600671768188,-175,-0.017556151390075714,-0.009200000000000041,-6.9999999972,0.3408,True,CIFAR-10
5000,4,22,0.3451,1.7822439260482787,200,0.3603,1.7648745470046998,13,0.3434,1.7942500419616698,-178,0.017369379043578936,-0.015199999999999991,-8.090909087231404,0.3408,True,CIFAR-10
5000,5,23,0.3782,1.7195249347686767,200,0.363,1.7279567804336549,12,0.3505,1.746783254623413,-177,-0.008431845664978121,0.015199999999999991,-7.695652170567107,0.3692,True,CIFAR-10
5000,6,25,0.363,1.7529384326934814,200,0.3425,1.6899485807418824,8,0.3391,1.791874813079834,-175,0.06298985195159901,0.020499999999999963,-6.9999999972,0.3705,True,CIFAR-10
5000,7,14,0.3565,1.794569938659668,200,0.3503,1.767127374649048,8,0.3363,1.8204483280181885,-186,0.027442564010620174,0.006199999999999983,-13.285714276224489,0.3782,True,CIFAR-10
5000,8,22,0.3438,1.7871904888153076,200,0.3662,1.7220662517547607,15,0.3566,1.8095747327804566,-178,0.06512423706054693,-0.02240000000000003,-8.090909087231404,0.33359999999999995,True,CIFAR-10
5000,9,25,0.3707,1.6988413639068602,200,0.3481,1.7378240509033203,8,0.3332,1.8399619483947753,-175,-0.038982686996460014,0.022599999999999953,-6.9999999972,0.3726,True,CIFAR-10
500,0,58,0.5458515283842795,1.177320246696472,8,0.4978165938864629,1.1495122575759888,8,0.4847161572052402,1.1867408990859984,50,0.027807989120483212,0.04803493449781665,0.8620689653686088,-0.051965065502183355,False,Wine
