task,train_size,lr,strat,stop_ep,gap,max_jump,roughness,room_after_decide,_cid
cifar10,6000,0.001,smart_trend,11,0.08540000021457672,0.022549422998616397,0.011242478602534715,0.06073736363772031,13
cifar10,6000,0.001,smart_meta,11,0.08540000021457672,0.022549422998616397,0.011242478602534715,0.06073736363772031,13
cifar10,6000,0.001,param,11,0.08540000021457672,0.022549422998616397,0.011242478602534715,0.06073736363772031,13
cifar10,300,0.003,early,12,0.0,0.009064022896017154,0.00017746717997846494,0.0002905711821379331,14
cifar10,300,0.003,smart_trend,11,0.0,0.009064022896017154,0.00017746717997846494,0.0002905711821379331,14
cifar10,300,0.003,smart_meta,11,0.0,0.009064022896017154,0.00017746717997846494,0.0002905711821379331,14
cifar10,300,0.003,param,11,0.0,0.009064022896017154,0.00017746717997846494,0.0002905711821379331,14
cifar10,2000,0.005,early,9,0.049100011587142944,0.2501389502009401,0.12299721110250438,0.02067099909130976,15
cifar10,2000,0.005,smart_trend,12,0.027799993753433228,0.2501389502009401,0.12299721110250438,0.02067099909130976,15
cifar10,2000,0.005,smart_meta,12,0.027799993753433228,0.2501389502009401,0.12299721110250438,0.02067099909130976,15
cifar10,2000,0.005,param,11,0.027799993753433228,0.2501389502009401,0.12299721110250438,0.02067099909130976,15
cifar10,800,0.001,early,17,0.015599995851516724,0.1286582818066766,0.044441092328875116,0.018324990790339557,16
cifar10,800,0.001,smart_trend,11,0.029399991035461426,0.1286582818066766,0.044441092328875116,0.018324990790339557,16
cifar10,800,0.001,smart_meta,14,0.015599995851516724,0.1286582818066766,0.044441092328875116,0.018324990790339557,16
cifar10,800,0.001,param,11,0.029399991035461426,0.1286582818066766,0.044441092328875116,0.018324990790339557,16
cifar10,2000,0.001,early,76,0.004099994897842407,0.04324185046840989,0.008281056758341685,0.08406395538401379,17
cifar10,2000,0.001,smart_trend,11,0.0762999951839447,0.04324185046840989,0.008281056758341685,0.08406395538401379,17
cifar10,2000,0.001,smart_meta,11,0.0762999951839447,0.04324185046840989,0.008281056758341685,0.08406395538401379,17
cifar10,2000,0.001,param,11,0.0762999951839447,0.04324185046840989,0.008281056758341685,0.08406395538401379,17
