task,horizon,trend,param
cifar10,10,0.021829950358471812,0.018943818039462008
cifar10,1,0.014678861261940377,0.009535411933369084
cifar10,2,0.019512375499790253,0.014368926171218854
cifar10,3,0.025310531360960686,0.020167082032389285
cifar10,4,0.006939870238005713,0.0017964209094343138
cifar10,5,0.017435239052181136,0.012291789723609737
cifar10,6,0.0006031346011146013,0.005746583929686001
cifar10,7,0.005452730918273138,0.0003092815897017384
cifar10,8,0.02443609661207216,0.01929264728350076
cifar10,9,0.02204150897923645,0.01689805965066505
cifar10,10,0.03889099793152749,0.04403444726009889
cifar10,1,0.004087825108778895,0.01941485362925673
cifar10,2,0.01599316676656761,0.0010441925063016536
cifar10,3,0.007208128704783723,0.011539561320477077
cifar10,4,0.026956833110470996,0.006498812332818661
cifar10,5,0.022611298343474792,0.0004429468134309218
cifar10,6,0.005338263402067308,0.0185404188803681
cifar10,7,0.009443181787294553,0.01614583124753239
cifar10,8,0.07208601945045003,0.04478667566323155
cifar10,9,0.03049959869225865,0.0014899241526486352
cifar10,10,0.03308634613993238,0.0023663408479308325
cifar10,1,0.007267176146076286,0.010909855549337563
cifar10,2,0.013999390175318592,0.007128518103958282
cifar10,3,0.01117171732402999,0.0010726525845706479
cifar10,4,0.0045834557016697875,0.017910713109228375
cifar10,5,0.0010393245992650606,0.015516125476392664
cifar10,6,0.06520002417812813,0.045416381434371274
cifar10,7,0.02513146533564436,0.0021196299237883614
cifar10,8,0.0292360746990257,0.0029960466190705587
cifar10,9,0.0577497129494456,0.028281492201391326
cifar10,10,0.04368615948426564,0.010989746068112111
cifar10,1,0.006055865519387739,0.001185631844277822
cifar10,2,0.025039231213186762,0.017797733849521095
cifar10,3,0.02264464358035105,0.015403146216685384
cifar10,4,0.03828786333041289,0.045529360694078556
cifar10,5,0.005008888180170026,0.002232609183495641
cifar10,6,0.004132471484887828,0.0031090258787778383
cifar10,7,0.021152974097432938,0.028394471461098605
cifar10,8,0.003861227964153725,0.011102725327819392
cifar10,9,0.007308342386109432,0.0145498397497751
cifar10,10,0.006042897927269136,0.001198599436396531
cifar10,1,0.00239458763283571,0.014915050006476289
cifar10,2,0.06332709454359965,0.04601745690428765
cifar10,3,0.020030343033016734,0.002720705393704841
cifar10,4,0.020906759728298932,0.0035971220889870386
cifar10,5,0.0461922053106197,0.028882567671307806
cifar10,6,0.028900459177340486,0.011590821538028592
cifar10,7,0.032347573599296194,0.0150379359599843
cifar10,8,0.018996333285917627,0.0016866956466057312
cifar10,9,0.062121731374007554,0.04481209373469566
cifar10,10,0.02164591247905932,0.004336274839747426
cifar10,1,0.04329675151058292,0.0018753830602981562
cifar10,2,0.04242033481530072,0.0027517997555803536
cifar10,3,0.01713488923297995,0.02803724533790112
cifar10,4,0.034426635366259166,0.010745499204621907
cifar10,5,0.030979520944303455,0.014192613626577614
cifar10,6,0.044330761257682025,0.0008413733131990463
cifar10,7,0.001205363169592095,0.043966771401288976
cifar10,8,0.04168118206454033,0.0034909525063407418
cifar10,9,0.03852422459461835,0.006647909976262723
cifar10,10,0.050634426703318705,0.005462292132437636
cifar10,1,0.025285445582320765,0.02792291256333758
cifar10,2,0.007993699449041554,0.010631166430058367
cifar10,3,0.011440813870997261,0.014078280852014074
cifar10,4,0.0019104264423813074,0.0007270405386355064
cifar10,5,0.04121497164570862,0.043852438626725436
cifar10,6,0.0007391527507603879,0.0033766197317772017
cifar10,7,0.0038961102206823695,0.006533577201699183
cifar10,8,0.00821409188801799,0.005576624907001176
cifar10,9,0.007772967247826201,0.010410434228843015
cifar10,10,0.01078841374523993,0.008150946764223118
cifar10,1,0.0034471144219557076,0.013191075742866026
cifar10,2,0.00990412589142286,0.00016016457051254247
cifar10,3,0.03322127219666707,0.04296523351757739
cifar10,4,0.007254546698281165,0.002489414622629153
cifar10,5,0.0040975892283591836,0.0056463720925511345
cifar10,6,0.016207791337059543,0.0064638300161492255
cifar10,7,0.00022073220121535217,0.009523229119694967
cifar10,8,0.018782113194281483,0.009038151873371167
cifar10,9,0.016581529799866452,0.006837568478956132
cifar10,10,0.01047951324302604,0.020223474563936358
cifar10,1,0.043125398088089927,0.042683762932703276
cifar10,2,0.0026495791931416953,0.0022079440377550425
cifar10,3,0.005806536663063677,0.005364901507677024
cifar10,4,0.006303665445636683,0.006745300601023335
cifar10,5,0.00968339369020751,0.009241758534820855
cifar10,6,0.008877987302858624,0.009319622458245276
cifar10,7,0.00667740390844359,0.007119039063830243
cifar10,8,0.020383639134448902,0.019942003979062248
cifar10,9,0.012001817954486356,0.01244345310987301
cifar10,10,0.0180762571429348,0.018517892298321455
cifar10,1,0.004197497123669954,0.004445996815684174
cifar10,2,0.006872165331282432,0.007664205293016186
cifar10,3,0.01015543345830973,0.008322853842828005
cifar10,4,0.007365407881008428,0.010238527150238126
cifar10,5,0.004124284832845422,0.008037943755823094
cifar10,6,0.02397729786379504,0.019023099287069398
cifar10,7,0.007367619571392137,0.01336235780186586
cifar10,8,0.01240151910609261,0.019436796990314305
cifar10,9,0.00035981791850386624,0.008435635456473535
cifar10,10,0.010139759093687832,0.0010234019019701916
cifar10,1,0.019453651641582283,0.00838570840250502
cifar10,2,0.004358863154254239,0.010175672590561114
cifar10,3,0.010026039054407363,0.00797508919614608
cifar10,4,0.040553674603037944,0.019085953846746412
cifar10,5,0.01163481001984067,0.013299503242188846
cifar10,6,0.009026963337130314,0.01937394243063729
cifar10,7,0.023494717376709176,0.00837278089679652
cifar10,8,0.03642034724089099,0.0010862564616472053
cifar10,9,0.04012177208075942,0.0013210887957775452
cifar10,10,0.035264359614190395,0.0070029161765295675
cifar10,1,0.009372745839336383,0.007941423280264393
cifar10,2,0.04360595132715023,0.019119619762628097
cifar10,3,0.01839265668313632,0.01326583732630716
cifar10,4,0.01949037993960912,0.019340276514755606
cifar10,5,0.03766370391837124,0.008339114980914834
cifar10,6,0.054294903721736315,0.0011199223775288918
cifar10,7,0.061701898500788006,0.0013547547116592319
cifar10,8,0.060550055973402246,0.006969250260647881
cifar10,9,0.07604758243958637,0.0013561137606148933
cifar10,10,0.07926921607855907,0.0025944150453337546
cifar10,1,0.032385457088935254,0.013468248458081877
cifar10,2,0.03845989627738371,0.019542687646530322
cifar10,3,0.02745873474354293,0.008541526112689551
cifar10,4,0.017999697385099205,0.0009175112457541744
cifar10,5,0.017764865050968866,0.0011523435798845144
cifar10,6,0.02608887002327598,0.007171661392422598
cifar10,7,0.017763506002013204,0.0011537026288401758
cifar10,8,0.021714034807961854,0.002796826177108472
cifar10,9,0.04421161796590237,0.02529440933504899
cifar10,10,0.024193732881645863,0.005276524250792483
cifar10,1,0.014461410193203676,0.00796320503626265
cifar10,2,0.027380696211010306,0.001495832322181075
cifar10,3,0.031075777204503656,0.001730664656311415
cifar10,4,0.026212020891559447,0.006593340315995697
cifar10,5,0.03799763357218512,0.0017320237052670766
cifar10,6,0.03750735342559938,0.0022185051006815715
cifar10,7,0.01847001892702177,0.024716088258622086
cifar10,8,0.04194815267064128,0.004698203174365582
cifar10,9,0.05248111860342581,0.0023745140990560415
cifar10,10,0.0318909007918855,0.021675952371847173
cifar10,1,0.0014675156235621168,0.0018406219468036337
cifar10,2,0.005623806059313219,0.006483383025503478
cifar10,3,0.003934241251381332,0.0018419809957592953
cifar10,4,0.0012163957348643555,0.002108547810189353
cifar10,5,0.020048504133644382,0.02460613096812987
cifar10,6,0.0012020642400438987,0.004588245883873363
cifar10,7,0.0095074648028973,0.0024844713895482602
cifar10,8,0.013310318378574139,0.021565995081354955
cifar10,9,0.011720091959723754,0.021208451951936345
cifar10,10,0.005501737576447941,0.016222780858092204
cifar10,1,0.008325364021262775,0.001918421039505361
cifar10,2,0.004374835215314126,0.002032107766443287
cifar10,3,0.018122747942626388,0.024529690924383802
cifar10,4,0.0018951371416301157,0.004511805840127297
cifar10,5,0.008967854415051739,0.002560911433294326
cifar10,6,0.015082612055851477,0.02148955503760889
cifar10,7,0.014725068926432869,0.021132011908190283
cifar10,8,0.009739397832588726,0.016146340814346138
cifar10,9,0.012710052341505445,0.006303109359748033
cifar10,10,0.009996711101527299,0.016403654083284713
cifar10,1,0.022497583157940516,0.024527877567912644
cifar10,2,0.00247969807368401,0.004509992483656139
cifar10,3,0.004593019199737613,0.002562724789765484
cifar10,4,0.019457447271165603,0.02148774168113773
cifar10,5,0.019099904141746993,0.02113019855171912
cifar10,6,0.014114233047902852,0.01614452745787498
cifar10,7,0.00833521712619132,0.006304922716219191
cifar10,8,0.014371546316841425,0.016401840726813555
cifar10,9,0.0047736594567609515,0.0027433650467888226
cifar10,10,0.012062239005973472,0.014092533415945602
cifar10,1,0.009657377610199101,0.00301314502944575
cifar10,2,0.011808428523926636,0.021037321441457466
cifar10,3,0.008866225057730548,0.020679778312038856
cifar10,4,0.0012958936271089277,0.015694107218194715
cifar10,5,0.023738216883762722,0.006755342955899457
cifar10,6,0.0036161137775074553,0.01595142048713329
cifar10,7,0.02534597988788731,0.0031937852864690887
cifar10,8,0.011094741761930364,0.013642113176265337
cifar10,9,0.015934913721747528,0.01138660155322565
cifar10,10,0.028156193813841834,0.0017499817979088246
cifar10,1,0.0027359127780500698,0.020406909675404292
cifar10,2,0.01009995352052578,0.01542123858156015
cifar10,3,0.034927773343251416,0.007028211592534022
cifar10,4,0.01459937954885013,0.015678551850498722
cifar10,5,0.03612295497108407,0.003466653923103654
cifar10,6,0.02166542615698111,0.013369244539630771
cifar10,7,0.026299307428652257,0.011113732916591085
cifar10,8,0.03831429683260065,0.0014771131612742595
cifar10,9,0.08499749255467694,0.04282771291217056
cifar10,10,0.05852110104710202,0.01397295175596419
cifar10,1,0.02336357400623435,0.007559164890814566
cifar10,2,0.0015709343953417847,0.01514759855221818
cifar10,3,0.02163026400108434,0.0039976072213841985
cifar10,4,0.005708489370490095,0.012838291241350226
cifar10,5,0.008878124825669959,0.01058277961831054
cifar10,6,0.019428868413126965,0.0009461598629937151
cifar10,7,0.06464781831871196,0.043358666210451105
cifar10,8,0.036707180994645774,0.014503905054244733
cifar10,9,0.006461030371379519,0.0166563694011617
cifar10,10,0.0026594242084938173,0.02137209939618758
cifar10,1,0.019329753296373244,0.0041077062661176835
cifar10,2,0.0026784023564096824,0.012728192196616741
cifar10,3,0.005118461502220128,0.010472680573577055
cifar10,4,0.014939628780307818,0.0008360608182602298
cifar10,5,0.0594290023765235,0.04346876525518459
cifar10,6,0.030758788743088,0.01461400409897822
cifar10,7,0.00021693818954767483,0.016546270356428215
cifar10,8,0.0047481206618026905,0.021262000351454095
cifar10,9,0.010486025352605462,0.02718445256502773
cifar10,10,0.017825852372853963,0.0009428776376608295
cifar10,1,0.002255511623039685,0.010350578243037725
cifar10,2,0.011892131378356511,0.0007139584877208989
cifar10,3,0.05619695745180133,0.04359086758572392
cifar10,4,0.02734219629559496,0.01473610642951755
cifar10,5,0.0038180781598114726,0.016424168025888884
cifar10,6,0.008533808154837353,0.021139898020914764
cifar10,7,0.014456260368410991,0.0270623502344884
cifar10,8,0.01367106983427757,0.0010649799682001602
cifar10,9,0.00777160819887054,0.00483448166720687
cifar10,10,0.051122155397281724,0.03851606553120431
cifar10,1,0.04560962794287491,0.04374383053431157
cifar10,2,0.018059668656098635,0.014889069378105203
cifar10,3,0.011795803929877707,0.01627120507730123
cifar10,4,0.0152067320554736,0.02098693507232711
cifar10,5,0.019824382399617146,0.026909387285900747
cifar10,6,0.009607749672501508,0.001217942916787813
cifar10,7,0.005013089906524571,0.004681518718619217
cifar10,8,0.04966843897436585,0.038669028479791964
cifar10,9,0.0017833974308279917,0.014087609794831965
cifar10,10,0.003593964515361186,0.01001504971807288
cifar10,1,0.031160274455406433,0.017053138040273228
cifar10,2,0.03587600445043231,0.02176886803529911
cifar10,3,0.04179845666400595,0.027691320248872747
cifar10,4,0.01367112646131739,0.00043600995381581437
cifar10,5,0.01957058809672442,0.005463451681591216
cifar10,6,0.02377995910168676,0.037887095516819964
cifar10,7,0.028976679172937166,0.014869542757803963
cifar10,8,0.02490411909617808,0.010796982681044879
cifar10,9,0.03182819039007423,0.017721053974941028
cifar10,10,0.04394801909554386,0.029840882680410654
cifar10,1,0.002210109680428018,0.027188943029556656
cifar10,2,0.029629563055406163,0.0009383871731319067
cifar10,3,0.027442443953144855,0.004961074462275124
cifar10,4,0.07450533368470166,0.038389472736136056
cifar10,5,0.02546103794322335,0.014367165538487872
cifar10,6,0.03324594055312805,0.010294605461728785
cifar10,7,0.030034211792377523,0.017218676755624936
cifar10,8,0.021626725620053515,0.029338505461094563
cifar10,9,0.04373589096855069,0.01094168264574311
cifar10,10,0.05206044926793264,0.006329466879506778
cifar10,1,0.003893125166726169,0.004626092577289863
cifar10,2,0.05703625916727055,0.03872445462112132
cifar10,3,0.014072207694779716,0.01403218365350261
cifar10,4,0.027937354573672,0.009959623576743525
cifar10,5,0.03080587008190905,0.016883694870639673
cifar10,6,0.028478628178572624,0.029003523576109302
cifar10,7,0.05666803779605728,0.010606700760757847
cifar10,8,0.07107284036442671,0.005994484994521517
cifar10,9,0.10422498712462872,0.017365074963547292
cifar10,10,0.08320651842592067,0.013445980537293957
cifar10,1,0.05275663827462393,0.014455876518281289
cifar10,2,0.04868407819786484,0.010383316441522203
cifar10,3,0.055608149491760996,0.01730738773541835
cifar10,4,0.06772797819723061,0.02942721644088798
cifar10,5,0.04933115538187917,0.011030393625536525
cifar10,6,0.044718939615642835,0.006418177859300194
cifar10,7,0.021359379657574024,0.016941382098768616
cifar10,8,0.052170435158415275,0.013869673402072636
cifar10,9,0.047117208006066794,0.008816446249724155
cifar10,10,0.05526884026916418,0.016968078512821536
cifar10,1,0.006924071293896149,0.017006831124119697
cifar10,2,0.019043899999365777,0.029126659829589327
cifar10,3,0.0006470771840143226,0.010729837014237872
cifar10,4,0.0039651385822220084,0.0061176212480015405
cifar10,5,0.027324698540290817,0.017241938710067267
cifar10,6,0.003486356960550433,0.013569116790773982
cifar10,7,0.001566870191798049,0.0085158896384255
cifar10,8,0.006584762071299332,0.016667521901522882
cifar10,9,0.009747948515601429,0.01983070834582498
cifar10,10,0.015131198056016374,0.025213957886239924
cifar10,1,0.026529366912283563,0.01017645736139666
cifar10,2,0.0392741267754519,0.005564241595160329
cifar10,3,0.07076623083045282,0.017795318362908482
cifar10,4,0.048087719426543676,0.01301573713793277
cifar10,5,0.06127349067582416,0.007962509985584289
cifar10,6,0.06125440250965889,0.01611414224868167
cifar10,7,0.0662237601622889,0.019277328692983767
cifar10,8,0.06897305471880597,0.024660578233398713
cifar10,9,0.07976101059398115,0.022005166455155635
cifar10,10,0.09846361457061024,0.01143510657545865
cifar10,1,0.02335955995806881,0.01798348044931539
cifar10,2,0.007451495542772441,0.01282757505152586
cifar10,3,0.00239826839042396,0.007774347899177379
cifar10,4,0.01054990065352134,0.01592598016227476
cifar10,5,0.013713087097823437,0.019089166606576856
cifar10,6,0.019096336638238384,0.0244724161469918
cifar10,7,0.016440924859995307,0.021817004368748727
cifar10,8,0.00587086498029832,0.01124694448905174
cifar10,9,0.006332715117063947,0.011708794625817366
cifar10,10,0.003283009260559584,0.008659088769313003
cifar10,1,0.0050532271523484815,0.007834860648776129
cifar10,2,0.0030984051107488995,0.015986492911873512
cifar10,3,0.006261591555050996,0.01914967935617561
cifar10,4,0.01164484109546594,0.024532928896590554
cifar10,5,0.008989429317222864,0.021877517118347477
cifar10,6,0.0015806305624741215,0.01130745723865049
cifar10,7,0.001118780425708495,0.011769307375416116
cifar10,8,0.004168486282212858,0.008719601518911754
cifar10,9,0.018904540854370655,0.0060164530532460445
cifar10,10,0.01567391160564386,0.02856199940676847
cifar10,1,0.001229064012629538,0.01887403848359727
cifar10,2,0.0046781911213720296,0.024257288024012214
cifar10,3,8.865691145639529e-05,0.021601876245769137
cifar10,4,0.012415525399913044,0.011031816366072152
cifar10,5,0.013887797694819976,0.011493666502837778
cifar10,6,0.01887162598299679,0.008443960646333414
cifar10,7,0.03554180298682715,0.006292093925824384
cifar10,8,0.0028974729584850876,0.02828635853419013
cifar10,9,0.036812678787743795,0.0036947248633960174
cifar10,10,0.015055520062086504,0.01999655629393383
cifar10,1,0.009490151489951295,0.021056342419108823
cifar10,2,0.02689495108135661,0.010486282539411836
cifar10,3,0.0332678406562992,0.010948132676177462
cifar10,4,0.04315228622451178,0.0078984268196731
cifar10,5,0.0647230805083778,0.0068376277524846985
cifar10,6,0.036979367760071616,0.027740824707529817
cifar10,7,0.07579519086936598,0.004240258690056332
cifar10,8,0.058938649423744355,0.019451022467273517
cifar10,9,0.0666784591128834,0.018545952489842792
cifar10,10,0.09635784910958418,0.004298697795149776
cifar10,1,0.0006929871520688247,0.00912504858034666
cifar10,2,0.004897530297407745,0.00607534130672284
cifar10,3,0.020788422158399995,0.008660714487130758
cifar10,4,0.012635193012779964,0.02591773691966237
cifar10,5,0.020500727673640636,0.006063347385903968
cifar10,6,0.002035716194854657,0.017627932988658033
cifar10,7,2.4191071410521216e-05,0.016722862336404735
cifar10,8,0.024023678645237644,0.006121788530351069
cifar10,9,0.03095872102361983,0.011901994121435671
cifar10,10,0.010610402600779343,0.009601161157865494
cifar10,1,0.014736054572157799,0.008869778502879951
cifar10,2,0.019842397887856716,0.025708672426993373
cifar10,3,0.012138685509729432,0.006272412294794555
cifar10,4,0.011552595647600418,0.017418867716555816
cifar10,5,0.01064752567016969,0.016513796747381175
cifar10,6,0.012197124614822875,0.006330854395877858
cifar10,7,0.01797732970437061,0.012111060228179297
cifar10,8,0.003525826007304435,0.009392094840708059
cifar10,9,0.01272800311312814,0.006861734836000307
cifar10,10,0.020378712581984627,0.02624498037770497
cifar10,1,0.031981083397586145,0.006500396503524453
cifar10,2,0.008289802240256298,0.017190882936794553
cifar10,3,0.009194872217687026,0.016285811467371434
cifar10,4,0.03203952250267959,0.006558840114084284
cifar10,5,0.03781972759222733,0.012339046330190399
cifar10,6,0.016316571880552282,0.009164108402564515
cifar10,7,0.03257040100098486,0.007089721568498375
cifar10,8,0.0005363146941279119,0.02601699338746133
cifar10,9,0.03385832639463339,0.008377648343585176
cifar10,10,0.006630120330194535,0.01885055716274155
cifar10,1,0.0020672655456109184,0.016143353227591643
cifar10,2,0.026074111398783677,0.006701298726737104
cifar10,3,0.03301651205651171,0.012481505270486732
cifar10,4,0.012675551913016855,0.009021649174395477
cifar10,5,0.030091576601629623,0.007232181049573109
cifar10,6,0.0018529435253029553,0.025874533684220952
cifar10,7,0.03370389313163854,0.008520108241969906
cifar10,8,0.007637882635379874,0.01870809709296241
cifar10,9,0.016181299589916952,0.011326875071113612
cifar10,10,0.023370311006057617,0.005300058669559605
cifar10,1,0.006031671212146142,0.01260517191518044
cifar10,2,0.015220018376930603,0.008897982215344548
cifar10,3,0.0012852768661003803,0.007355848285441582
cifar10,4,0.031569972706413985,0.025750866204614028
cifar10,5,0.003076134504945618,0.008643775936169395
cifar10,6,0.023900605436894828,0.01858442920984777
cifar10,7,0.01626791792793964,0.011203207021703274
cifar10,8,0.009989635957380866,0.005176390473777156
cifar10,9,0.014216575905925954,0.009654795933846558
cifar10,10,0.014474413379461688,0.010164098996509155
cifar10,1,0.016253829120432575,0.007308422691980124
cifar10,2,0.016852886574680193,0.025798291897752176
cifar10,3,0.017541754514081107,0.008596350155218086
cifar10,4,0.009686451550357748,0.01863185506815397
cifar10,5,0.0023052301640009674,0.011250632948145546
cifar10,6,0.0037215856839595074,0.005223816460230361
cifar10,7,0.0007568203871839872,0.009702221973149712
cifar10,8,0.001266123983318127,0.010211525082352154
cifar10,9,0.019689108491066067,0.010743707816776095
cifar10,10,0.012789330197252365,0.003843929893461158
cifar10,1,0.03635368265378508,0.008828351606958705
cifar10,2,0.011084518154370109,0.01839985316841108
cifar10,3,0.020424781105750668,0.011018630653105623
cifar10,4,0.02841063851873492,0.004991813816427658
cifar10,5,0.025891274012615203,0.009470219021666214
cifar10,6,0.02734101198150495,0.009979521859452962
cifar10,7,0.05025528602091292,0.010975711279081415
cifar10,8,0.045314549292122995,0.004075933566921049
cifar10,9,0.030565782758483446,0.012631874022338271
cifar10,10,0.032661691878750405,0.012495006020966391
cifar10,1,0.011279206771014913,0.010899837356972291
cifar10,2,0.02120400800363352,0.004873020275044191
cifar10,3,0.02062358731714816,0.00935142526328533
cifar10,4,0.024012269105672154,0.009860727909088417
cifar10,5,0.04886548696471448,0.011094505399285127
cifar10,6,0.04586369405555902,0.004194727837361832
cifar10,7,0.033053871341553825,0.012513079619010704
cifar10,8,0.03708872428145503,0.01237621150010767
cifar10,9,0.08150296026749233,0.028140039595926994
cifar10,10,0.07862382152658522,0.021362915904460263
cifar10,1,0.0031570788135787823,0.009158242294042595
cifar10,2,0.00234505515214821,0.009667544523797497
cifar10,3,0.0199315045798008,0.01128768915364751
