task,holdout,is_classifier,train_size,run,strat,epochs,quality,oracle
MNIST,False,True,800,3,early,38,0.8884999752044678,0.8884999752044678
MNIST,False,True,800,3,smart_trend,28,0.8835999965667725,0.8884999752044678
MNIST,False,True,800,3,smart_meta,27,0.8835999965667725,0.8884999752044678
MNIST,False,True,800,3,param,33,0.8884999752044678,0.8884999752044678
MNIST,False,True,2000,0,early,36,0.910099983215332,0.910099983215332
MNIST,False,True,2000,0,smart_trend,26,0.9075999855995178,0.910099983215332
MNIST,False,True,2000,0,smart_meta,25,0.9075999855995178,0.910099983215332
MNIST,False,True,2000,0,param,11,0.890999972820282,0.910099983215332
MNIST,False,True,2000,1,early,39,0.9091999530792236,0.9091999530792236
MNIST,False,True,2000,1,smart_trend,29,0.9093999862670898,0.9091999530792236
MNIST,False,True,2000,1,smart_meta,24,0.905299961566925,0.9091999530792236
MNIST,False,True,2000,1,param,11,0.886199951171875,0.9091999530792236
MNIST,False,True,2000,2,early,37,0.910099983215332,0.910099983215332
MNIST,False,True,2000,2,smart_trend,25,0.9070000052452087,0.910099983215332
MNIST,False,True,2000,2,smart_meta,24,0.9070000052452087,0.910099983215332
MNIST,False,True,2000,2,param,11,0.8894999623298645,0.910099983215332
MNIST,False,True,2000,3,early,28,0.9128999710083008,0.9152999520301819
MNIST,False,True,2000,3,smart_trend,25,0.9128999710083008,0.9152999520301819
MNIST,False,True,2000,3,smart_meta,25,0.9128999710083008,0.9152999520301819
MNIST,False,True,2000,3,param,11,0.899399995803833,0.9152999520301819
MNIST,False,True,5000,0,early,34,0.9386999607086182,0.9386999607086182
MNIST,False,True,5000,0,smart_trend,23,0.9335999488830566,0.9386999607086182
MNIST,False,True,5000,0,smart_meta,23,0.9335999488830566,0.9386999607086182
MNIST,False,True,5000,0,param,11,0.9199000000953674,0.9386999607086182
MNIST,False,True,5000,1,early,25,0.9327999949455261,0.9386999607086182
MNIST,False,True,5000,1,smart_trend,24,0.9327999949455261,0.9386999607086182
MNIST,False,True,5000,1,smart_meta,23,0.9327999949455261,0.9386999607086182
MNIST,False,True,5000,1,param,11,0.9195999503135681,0.9386999607086182
MNIST,False,True,5000,2,early,36,0.9400999546051025,0.9400999546051025
MNIST,False,True,5000,2,smart_trend,27,0.9388999938964844,0.9400999546051025
MNIST,False,True,5000,2,smart_meta,23,0.9358999729156494,0.9400999546051025
MNIST,False,True,5000,2,param,11,0.920699954032898,0.9400999546051025
MNIST,False,True,5000,3,early,33,0.9412999749183655,0.9412999749183655
